unit_id,unit_percentage_owner,unit_percentage_bv
UN1222,85.0,15.0
UN0000,85.0,15.0
UN0712,85.0,15.0
UN0713,85.0,15.0
UN0710,85.0,15.0
UN0241,85.0,15.0
UN0242,85.0,15.0
UN1279,85.0,15.0
UN0937,85.0,15.0
UN0149,85.0,15.0
UN0148,85.0,15.0
UN0158,85.0,15.0
UN0159,85.0,15.0
UN0160,85.0,15.0
UN0197,85.0,15.0
UN1279,0.0,15.0
UN1232,85.0,15.0
UN1068,85.0,15.0
UN1058,85.0,15.0
UN1211,85.0,15.0
UN1166,85.0,15.0
UN1058,85.0,15.0
UN1058,85.0,15.0
UN0790,85.0,15.0
UN0788,85.0,15.0
UN1208,85.0,15.0
UN1290,85.0,15.0
UN1208,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0426,85.0,15.0
UN1255,0.0,0.0
UN0000,85.0,15.0
UN1269,85.0,15.0
UN1270,85.0,15.0
UN0528,85.0,15.0
UN1287,85.0,15.0
UN1264,85.0,15.0
UN1181,85.0,15.0
UN0000,0.0,0.0
UN1274,0.0,0.0
UN0197,85.0,15.0
UN0275,85.0,15.0
UN0911,85.0,15.0
UN0912,85.0,15.0
UN0000,85.0,15.0
UN1274,85.0,15.0
UN1274,85.0,15.0
UN1298,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0275,85.0,15.0
UN1277,85.0,15.0
UN0472,85.0,15.0
UN0000,85.0,15.0
UN0436,85.0,15.0
UN0471,85.0,15.0
UN1264,85.0,15.0
UN1264,85.0,15.0
UN1115,85.0,15.0
UN0408,85.0,15.0
UN0793,85.0,15.0
UN0000,85.0,15.0
UN1322,85.0,15.0
UN0236,85.0,15.0
UN0890,0.0,0.0
UN0692,85.0,15.0
UN1264,85.0,15.0
UN0407,85.0,15.0
UN0832,0.0,0.0
UN0407,85.0,15.0
UN0408,85.0,15.0
UN0000,85.0,15.0
UN0774,85.0,15.0
UN1322,85.0,15.0
UN1323,85.0,15.0
UN1329,85.0,15.0
UN1324,85.0,15.0
UN0388,85.0,15.0
UN0000,85.0,15.0
UN0388,0.0,0.0
UN0123,0.0,0.0
