,property_id,extra
874,The Jarrdin 2BR,C1116-Rahmat
875,Bagong Guesthouse,5
876,Uluwatu Jungle Bungalow,2
877,Pondok Lulik,02
878,Puri Langenarjan,Deluxe 2
879,Lebak Guesthouse,7
880,Villa Lila Loka,4 (Double)
881,Dinar Hills,C (Standard)
882,Dinar Hills,A (Suite)
883,Villa 9 Nelayan,05 (bunk bed)
884,Villa Kanha,
885,Villa Zen,
886,Moyo & Son Surf Stay,102-Double
887,Villa Hali Bali,Entire Villa
888,Tirtha Canggu Suites,01
889,NDBV Lot 3,
890,LJBB Bungalow,
891,Puri Kelapa,10
892,LJBB Bungalow,
893,Uluwatu Village House,2
894,Yoga Searcher,3
895,LJBB Nina,
896,Puri Kelapa,C1 (double)
897,The Hideaway,2
898,Villa Kura Kura,
899,Sahid Sudirman Residence,27B
900,Villa Idaman,1
901,Villa Idaman,1
902,Villa Idaman,1
903,Villa Idaman,1
904,La Cabane Dlx,
905,LJBB Bungalow,
906,The Gong,Double 9
907,Villa Bening,
908,The Gong,Double 9
909,Omah Gerjen 29,3A
910,Comeback,01 (Twin sekat)
911,The Alchemist,Le Petit Prince
912,Rama Village,
913,Villa Toya,
914,Villa Arindra,
915,Villa Tortoise,
916,LJBB,03 (Nina)
917,Tirtha Canggu Suites,01
918,The Alchemist,Romeo
919,LJBB Bungalow,
920,NDBV Lot 6,
921,Villa Kama,1
922,Kubu Nyang Nyang,2
923,Villa 9 Nelayan,10
924,Puri Kelapa,09
925,Villa Bukit Surf,
926,Moyo & Son Surf Stay,205-Double
927,Tirtha Canggu Suites,01
928,Villa Bening,
929,LJBB Bungalow,
930,The Gong,Double 9
931,Villa Purnama,
932,Villa Lila Loka,1 (Double)
933,Puri Kelapa,10
934,Villa Tortoise,
935,NDBV Lot 6,
936,LJBB Bungalow,
937,Dinar Hills,B (Standard)
938,D'Padang,1
939,NDBV Lot 6,
940,Villa Idaman,1
941,Gangga Guest House,1
942,Uluwatu Jungle Bungalow,1
943,Brad's Villa,
944,Kakol Guesthouse,8
945,Omah Gerjen 29,1A
946,LJBB Nina,
947,Villa Kama,3
948,Puri Kelapa,B1 (twin)
949,Lebak Guesthouse,3
950,D'Padang,8
951,Puri Sabina,05 (deluxe)
952,Tirtha Canggu Suites,01
953,NDBV Lot 6,
954,Yoga Searcher,3
955,Srikandi Guesthouse,1
956,Villa Idaman,1
957,La Cabane Dlx,
958,Riverside,Family 1
959,Villa Sunia,2
960,Bingin Surf Left,06
961,Kakol Guesthouse,7
962,Kembang Kuning,02
963,Villa Shanti 2BR,
964,Citra Sun Garden C2 no 2,
965,Rama Village,
966,Kakol Homestay,3
967,Ndalem Ngabean Family,1
968,Kembang Kuning,06
969,Villa Nazeki,2
970,Arindra 4BR (the whole villa),
971,Villa Merdu,
972,Villa Tortoise,
973,Wira Homestay,11
974,Rama Village,
975,The Hideaway,1
