,property_id,extra
6582,LJBB Shaka,
6583,Villa Bulan 2nd listing,
6584,The Alchemist,Le Petit Prince
6585,The Alchemist,Romeo
6586,The Gong,Double 9
6587,LJBB Shaka,
6588,Villa Papaya,
6589,Villa Tortoise,Room 2
6590,Moyo & Son Surf Stay,109-Dorm 1
6591,Villa Kura Kura,
6592,Villa Akilea,2
6593,Villa Kanha,
6594,The Alchemist,Romeo & Mykonos
6595,LJBB Nina,
6596,NDBV Lot 6,
6597,LJBB Shaka,
6598,Dinar Hills,A (Suite)
6599,The Alchemist,Family Bungalow
6600,Bingin Surf Left,02
6601,Rama Village,
6602,LJBB Bungalow,
6603,Padang Padang View,1
6604,LJBB Bungalow,
6605,Villa Idaman,2
6606,Lebak Guesthouse,1
6607,Padang Padang View,2
6608,Villa Mediapura,J
6609,Kubu Nyang Nyang,1
6610,Maha Ungasan,04 (Garden View)
6611,Batu Jaran Hill,04
6612,Buana,103
6613,LJBB Bungalow,
6614,Jepun Sari,92 (Double)
6615,Puri Kelapa,11 (twin)
6616,Villa Tortoise,
6617,Maha Ungasan,03 (Garden View)
6618,Villa Hali Bali,Entire Villa
6619,The Jepun,4
6620,Villa Kura Kura,
6621,The Gong,Double 9
6622,Kakol Guesthouse,8
6623,Villa Ayunan,
6624,Kubu Nyang Nyang,2
6625,The Alchemist,Le Petit Prince
6626,NDBV Lot 3,
6627,Villa Lila Loka,4 (Double)
6628,Kutuh Manak,02
6629,Lebak Guesthouse,4
6630,Villa Papaya,
6631,Omah Gerjen 29,3A
6632,Rama Village,
6633,Lebak Guesthouse,3
6634,Pondok Lulik,05
6635,Bobby's Guesthouse,5 (Family)
6636,Uluwatu Jungle Bungalow,4
6637,Villa Cahaya,
6638,Villa Shanti 3BR,
6639,Puri Kelapa,08 (twin)
6640,Puri Kelapa,10
6641,Uluwatu Jungle Bungalow,5
6642,D'Padang,03
6643,Villa 9 Nelayan,10
6644,Villa Shanti 3BR,
6645,The Gong,Double 7
6646,Moyo & Son Surf Stay,103-Double
6647,The Hideaway,2
6648,Ndalem Ngabean Double,4
6649,The Alchemist,Le Petit Prince
6650,Villa Ayunan,
6651,Villa Kama,2
6652,Kembang Kuning,03
6653,Kakol Guesthouse,2
6654,The Alchemist,Le Petit Prince
6655,Bobby's Guesthouse,5 (Family)
6656,Villa Kama,3
6657,Rama Village,
6658,Rama Village,
6659,Villa Asmara,
6660,Uluwatu Jungle Bungalow,5
6661,Bagong Guesthouse,1
6662,Villa 9 Nelayan,11
6663,Bagong Guesthouse,5
6664,The Jepun,1
6665,Padang Padang View,4
6666,The Gong,Double 9
6667,LJBB Bungalow,
6668,Padang Padang View,2
6669,Villa Arindra,3
6670,The Alchemist,Romeo
6671,1 room at Jonson's Villa,
6672,The Gong,Double 3
6673,Uluwatu Cottages,14 (Double)
6674,LaJoya1 Deluxe Bungalow,
6675,Uluwatu Jungle Bungalow,5
6676,Villa Kura Kura,
6677,LJBB Bungalow,
6678,Villa Shanti 3BR,
6679,Villa Akilea,2
6680,D'Padang,01
6681,D'padang,09
6682,Rama Village,
6683,Padang Padang View,1
6684,Villa Loluan,2
6685,Puri Kelapa,B1 (twin)
6686,Pondok Lulik,05
6687,LJBB Bungalow,
6688,Puri Kelapa,Family 1
6689,Redsalt,Lumbung 1
6690,Kembang Kuning,08
6691,The Gong,Double 8
6692,Puri Kelapa,01 (twin)
6693,Villa Kama,3
6694,Villa Bingin Luna,
6695,Dinar Hills,B (Standard)
6696,NDBV Lot 6,
6697,Villa Idaman,2
6698,Villa Kama,4
6699,Villa Bulan 2nd listing,
6700,Kubu Nyang Nyang,1
6701,LaJoya1 Deluxe Bungalow,
6702,LJBB Shaka,
6703,Villa Toya,
6704,Villa Akilea,2
6705,LJBB Bungalow,
6706,Dinar Hills,B (Standard)
6707,Uluwatu Cottages,25 (Suite)
6708,Villa 9 Nelayan,06 (bunk bed)
6709,Puri Sabina,05 (deluxe)
6710,Uluwatu Jungle Bungalow,3
6711,Lebak Guesthouse,1
6712,Puri Kelapa,B1 (twin)
6713,Villa Bening,
6714,Batu Jaran Hill,10
6715,Uluwatu Jungle Bungalow,3
6716,The Gong,Double 3
6717,Uluwatu Jungle Bungalow,5
6718,Villa Loluan,2
6719,The Gong,Double 7
6720,Moyo & Son Surf Stay,109-Dorm 7
6721,Kubu Nyang Nyang,2
6722,Puri Kelapa,10
6723,Uluwatu Jungle Bungalow,5
6724,Puri Kelapa,A1 (twin)
6725,Puri Kelapa,B1 (twin)
6726,Dinar Hills,C (Standard)
6727,Jepun Sari,92 (Double)
6728,Comeback,09 (Double)
6729,Villa Arindra,1
6730,Villa Arindra,1
6731,The Alchemist,Le Petit Prince
6732,Batu Jaran Hill,06
6733,Kembang Kuning,08
6734,Uluwatu Jungle Bungalow,1
6735,Rama Village,
6736,The Jarrdin 2BR,C1116-Rahmat
6737,The Hideaway,2
6738,Uluwatu Village House,2
6739,Tirtha Canggu Suites,04
6740,Uluwatu Jungle Bungalow,1
6741,Bobby's Guesthouse,All rooms
6742,Dinar Hills,A (Suite)
6743,Villa Asmara,
6744,Three Monkeys,Standard 2 (double)
6745,Pondok Lulik,05
6746,Puri Kelapa,11 (twin)
6747,Puri Kelapa,03 (twin)
6748,The Gong,Double 9
6749,Villa Tortoise,Room 2
6750,Moyo & Son Surf Stay,103-Double
6751,The Gong,Double 9
6752,LJBB Bungalow,
6753,Villa Kama,1
6754,LJBB Bungalow,
6755,Puri Kelapa,11 (twin)
6756,La Cabane Std,
6757,Villa Kanha,
6758,La Cabane,Family Paz
6759,Tirtha Canggu Suites,09
6760,Padang Padang View,3
6761,Villa Bening,
6762,The Gong,Double 9
6763,Uluwatu Jungle Bungalow,2
6764,Lebak Guesthouse,4
6765,Bingin Surf Left,02
6766,Maha Ungasan,04 (Garden View)
6767,Uluwatu Jungle Bungalow,4
6768,Villa Mediapura,J
6769,Villa Shanti 3BR,
6770,Kubu Nyang Nyang,1
6771,Kubu Nyang Nyang,1
6772,Tirtha Canggu Suites,04
6773,Villa Hali Bali,Entire Villa
6774,Uluwatu Jungle Bungalow,5
6775,LJBB Shaka,
6776,Kutuh Manak,08
6777,Kubu Nyang Nyang,1
6778,Puri Kelapa,09
6779,LaJoya1 Standard Bungalow,
6780,Batu Jaran Hill,01 (kitchen)
6781,Villa Tortoise,Room 1
6782,Taman Bintang,Wooden Twn (Jauk)
6783,The Alchemist,Family Bungalow
6784,Puri Kelapa,11 (twin)
6785,Villa Zen,
6786,Villa Zen,
6787,Kubu Nyang Nyang,2
6788,Omah Gerjen 29,3A
6789,Kubu Nyang Nyang,1
6790,The Gong,Double 1
6791,Villa Akilea,1
6792,The Gong,Double 9
6793,Villa Zen,
6794,Uluwatu Jungle Bungalow,5
6795,NDBV Lot 3,
6796,Villa Idaman,2
6797,Uluwatu Jungle Bungalow,5
6798,NDBV Lot 6,
6799,Villa Arindra,2
6800,NDBV Lot 3,
6801,Villa Arindra,1
6802,Tirtha Canggu Suites,10
6803,Omah Gerjen 29,3A
6804,Uluwatu Jungle Bungalow,3
6805,Puri Sabina,02 (standard)
6806,Tirtha Canggu Suites,03
6807,Puri Kelapa,07
6808,Buana,208
6809,Yoga Searcher,3
6810,Uluwatu Village House,1
6811,Buana,208
6812,Uluwatu Jungle Bungalow,2
6813,Villa 9 Nelayan,06 (bunk bed)
6814,Puri Sabina,06 (Deluxe Pool View)
6815,Kubu Nyang Nyang,1
6816,Tirtha Canggu Suites,08
6817,Uluwatu Jungle Bungalow,5
6818,Moyo & Son Surf Stay,109-Dorm 2
6819,Moyo & Son Surf Stay,109-Dorm 1
6820,Puri Sabina,05 (deluxe)
6821,Uluwatu Jungle Bungalow,5
6822,Puri Sabina,02 (standard)
6823,LJBB Bungalow,
6824,LJBB Shaka,
6825,Villa Papaya,
6826,Villa Papaya,
6827,Uluwatu Cottages,18 (Double)
6828,Villa Kanha,
6829,The Alchemist,Mykonos
6830,8BR Kakol (the whole villa),
6831,LJBB Nina,
6832,LJBB Shaka,
6833,The Jepun,3
6834,The Hideaway,2
6835,LJBB Bungalow,
6836,Villa Tortoise,Room 2
6837,Villa Bingin Luna,
6838,Villa Shanti 2BR,
6839,NDBV Lot 3,
6840,The Gong,Double 9
6841,LJBB Bungalow,
6842,NDBV Lot 6,
6843,Lebak Guesthouse,7
6844,The Gong,Double 9
6845,NDBV Lot 6,
6846,The Gong,Double 9
6847,Villa Kura Kura,
6848,Puri Kelapa,10
6849,Puri Kelapa,Family 1
6850,The Alchemist,Le Petit Prince
6851,Villa Kama,4
6852,Villa Bukit Surf,
6853,Kubu Nyang Nyang,2
6854,Villa Bingin Luna,
6855,Kakol Guesthouse,8
6856,Villa Arindra,2
6857,LaJoya1 Standard Bungalow,
6858,Puri Kelapa,A1 (twin)
6859,Tirtha Canggu Suites,03
6860,Villa Papaya,
6861,Kembang Kuning,08
6862,Lebak Guesthouse,2 (twin)
6863,Uluwatu Jungle Bungalow,2
6864,LJBB Shaka,
6865,Villa Mundaka,
6866,LJBB Shaka,
6867,Kubu Nyang Nyang,2
6868,Villa Kura Kura,
6869,LJBB Bungalow,
6870,Villa Kura Kura,
6871,Villa Akilea,1
6872,NDBV Lot 3,
6873,La Cabane Dlx,
6874,Omah Gerjen 29,3A
6875,LJBB Bungalow,
6876,Puri Minggiran,2
6877,Bagong Guesthouse,1
6878,The Alchemist,Le Petit Prince
6879,Omah Gerjen 29,3B
6880,Dinar Hills,A (Suite)
6881,Puri Sabina,02 (standard)
6882,Padang Padang View,3
6883,Villa Zen,
6884,The Gong,Double 9
6885,Moyo & Son Surf Stay,102-Double
6886,Kubu Nyang Nyang,2
6887,The Alchemist,Romeo
6888,Villa Cahaya,
6889,NDBV Lot 3,
6890,Villa Cahaya,
6891,Villa Kura Kura,
6892,Kembang Kuning,09
6893,Villa Papaya,
6894,Villa Idaman,2
6895,Villa Kama,4
6896,Kubu Nyang Nyang,2
6897,Villa Papaya,
6898,The Alchemist,Romeo
6899,Rumah Teteh,
6900,Villa Kama,1
6901,Moyo & Son Surf Stay,102-Double
6902,Villa Asmara,
6903,The Alchemist,Family Bungalow
6904,Rama Village,
6905,Moyo & Son Surf Stay,107-Twin
6906,Villa Tortoise,Room 1
6907,Jepun Sari,92 (Double)
6908,Lebak Guesthouse,8
6909,Tirtha Canggu Suites,01
6910,Lebak Guesthouse,4
6911,Pondok Lulik,05
6912,Padang Padang View,3
6913,Villa Papaya,
6914,Villa Akilea,1
6915,The Gong,Double 9
6916,NDBV Lot 6,
6917,Villa Bulan 2nd listing,
6918,Villa Bingin Luna,
6919,Uluwatu Village House,2BR
6920,Puri Kelapa,01 (twin)
6921,Villa Kanha,
6922,Dinar Hills,B (Standard)
6923,Uluwatu Cottages,28 (Suite)
6924,LJBB Shaka,
6925,LJBB Shaka,
6926,Villa Bulan,
6927,Bingin Surf Left,02
6928,La Cabane,Ceu
6929,Puri Kelapa,05
6930,LJBB Shaka,
6931,LJBB Shaka,
6932,Villa Tortoise,Room 2
6933,The Alchemist,Le Petit Prince
6934,Puri Kelapa,07
6935,Villa Ayunan,
6936,Uluwatu Cottages,22 (Twin)
6937,Kubu Nyang Nyang,2
6938,Puri Kelapa,D2 (double)
6939,Villa Kama,1
6940,Villa Kanha,
6941,LJBB Shaka,
6942,Dinar Hills,B (Standard)
6943,LJBB Shaka,
6944,Villa Akilea,1
6945,Kubu Nyang Nyang,2
6946,Yoga Searcher,3
6947,Villa Papaya,
6948,Kakol Guesthouse,2
6949,Kubu Nyang Nyang,2
6950,LJBB Bungalow,
6951,Kutuh Manak,02
6952,Yoga Searcher,3
6953,LaJoya1 Standard Bungalow,
6954,The Alchemist,Romeo
6955,The Alchemist,Blanche Niege
6956,The Gong,Double 7
6957,Villa Arindra,2
6958,Tirtha Canggu Suites,03
6959,Villa 9 Nelayan,05 (bunk bed)
6960,D'Padang,03
6961,Moyo & Son Surf Stay,109-Dorm 1
6962,Kakol Guesthouse,8
6963,Pondok Lulik,06
6964,Villa 9 Nelayan,11
6965,The Jarrdin 2BR,C228-Rahmat
6966,Batu Jaran Hill,01 (kitchen)
6967,Uluwatu Village House,2
6968,Villa Loluan,1
6969,Villa Entre Amis,
6970,LJBB Bungalow,
6971,Villa Bingin Luna,
6972,Puri Kelapa,B1 (twin)
6973,LJBB Bungalow,
6974,Batu Jaran Hill,03
6975,Kubu Nyang Nyang,2
6976,LJBB Nina,
6977,The Alchemist,Le Petit Prince
6978,Villa Akilea,1
6979,Lebak Guesthouse,1
6980,Puri Pandawa,Deluxe 1
6981,Kutuh Manak,08
6982,Rama Village,
6983,Villa Arindra,1
6984,Moyo & Son Surf Stay,109-Whole Dorm
6985,Tirtha Canggu Suites,01
6986,Villa Mediapura,J
6987,Lebak Guesthouse,2 (twin)
6988,Bingin Surf Left,01
6989,Villa Mediapura,J
6990,Bingin Surf Left,05
6991,Moyo & Son Surf Stay,109-Dorm 1
6992,Padang Padang View,3
6993,Puri Kelapa,12
6994,Puri Kelapa,02
6995,Villa Asmara,
6996,Villa Bulan,
6997,Villa Bulan 2nd listing,
6998,The Hideaway,2
6999,Villa Hali Bali,Entire Villa
7000,The Alchemist,Le Petit Prince
7001,Puri Sabina,02 (standard)
7002,Moyo & Son Surf Stay,104-Double
7003,Villa Kama,4
7004,Villa Cahaya,
7005,The Gong,Double 9
7006,Villa Loluan,1
7007,Puri Kelapa,05
7008,Villa Tortoise,Room 1
7009,Villa Kama,1
7010,Kakol Guesthouse,8
7011,Puri Kelapa,12
7012,Kakol Guesthouse,2
7013,Rama Village,
7014,Villa Tortoise,Room 1
7015,Villa Zen,
7016,Comeback,01 (Twin sekat)
7017,Villa Papaya,
7018,Villa Toya,
7019,Lebak Guesthouse,1
7020,Padang Padang View,3
7021,Villa Hali Bali,Entire Villa
7022,The Gong,Double 1
7023,Villa Kama,3
7024,LJBB Bungalow,
7025,Villa Kanha,
7026,Lebak Guesthouse,1
7027,The Gong,Double 3
7028,Villa Arindra,1
7029,NDBV Lot 3,
7030,Lebak Guesthouse,9 (master)
7031,LJBB Bungalow,
7032,NDBV Lot 6,
7033,Villa Hali Bali,Entire Villa
7034,Villa Zen,
7035,Bingin Surf Left,04
7036,Pondok Lulik,05
7037,Puri Kelapa,B1 (twin)
7038,Villa Arindra,2
7039,Batu Jaran Hill,04
7040,Puri Kelapa,B1 (twin)
7041,Villa 9 Nelayan,03
7042,Puri Kelapa,09
7043,The Jepun,1
7044,Batu Jaran Hill,02
7045,Bingin Surf Left,10
7046,The Gong,Double 7
7047,LJBB Bungalow,
7048,Villa Kura Kura,
7049,Villa Idaman,1
7050,The Alchemist,Romeo
7051,Villa Akilea,1
7052,Kubu Nyang Nyang,2
7053,The Jepun,4
7054,Villa Kura Kura,
7055,LJBB Bungalow,
7056,Kubu Nyang Nyang,2
7057,LJBB Bungalow,
7058,LJBB Bungalow,
7059,The Alchemist,Le Petit Prince
7060,The Alchemist,Mykonos
7061,LJBB Bungalow,
7062,LaJoya1 Std Family Room,
7063,Puri Kelapa,10
7064,Comeback,02 (Double)
7065,The Gong,Double 3
7066,The Gong,Double 9
7067,Villa Bukit Surf,
7068,Rama Village,
7069,Uluwatu Cottages,27 (Suite)
7070,Puri Kelapa,B1 (twin)
7071,Puri Kelapa,12
7072,Villa Tortoise,Room 2
7073,Puri Kelapa,01 (twin)
7074,NDBV Lot 6,
7075,Omah Lila,3BR
7076,Kubu Nyang Nyang,2
7077,Villa Cahaya,
7078,Villa Tortoise,Room 1
7079,LJBB Shaka,
7080,Tembi Rumah Budaya,Ngadirojo
7081,Uluwatu Jungle Bungalow,1
7082,Omah Lila,3BR
7083,Villa Tortoise,Entire Property
7084,Villa Ayunan,
7085,Puri Kelapa,D1 (twin)
7086,Villa Kama,1
7087,Villa Hali Bali,Entire Villa
7088,The Gong,Double 9
7089,Puri Kelapa,06
7090,Villa Idaman,2
7091,Uluwatu Cottages,16 (Double)
7092,The Jarrdin 2BR,C1116-Rahmat
7093,NDBV Lot 3,
7094,The Gong,Double 3
7095,Puri Kelapa,05
7096,Bagong Guesthouse,1
7097,Padang Padang View,2
7098,Tirtha Canggu Suites,03
7099,Puri Kelapa,Family 1
7100,The Hideaway,2
7101,Puri Kelapa,10
7102,Maha Ungasan,09 (Garden View)
7103,Kakol Guesthouse,2
7104,Padang Padang View,2
7105,Kubu Nyang Nyang,2
7106,Padang Padang View,3
7107,Bali Mynah,Double 3
7108,LaJoya1 Standard Bungalow,
7109,Villa Kanha,
7110,The Gong,Double 9
7111,Villa Toya,
7112,LJBB Bungalow,
7113,Kembang Kuning,05
7114,D'Padang,08
7115,LJBB Bungalow,
7116,The Gong,Double 9
7117,Pondok Lulik,05
7118,Villa Papaya,
7119,Puri Kelapa,B1 (twin)
7120,Puri Kelapa,B2 (double)
7121,Uluwatu Cottages,18 (Double)
7122,The Gong,Double 2
7123,Dinar Hills,B (Standard)
7124,The Gong,Double 9
7125,The Alchemist,Le Petit Prince
7126,Villa Akilea,1
7127,Lebak Guesthouse,3
7128,The Hideaway,2
7129,NDBV Lot 6,
7130,LJBB Shaka,
7131,Omah Gerjen 29,3A
7132,Puri Kelapa,10
7133,LJBB Shaka,
7134,Bingin Surf Left,02
7135,Villa Tortoise,
7136,Lebak Guesthouse,5
7137,Villa Anak,
7138,Bobby's Guesthouse,All rooms
7139,Villa Bening,
7140,Villa 9 Nelayan,10
7141,Lebak Guesthouse,4
7142,Uluwatu Jungle Bungalow,3
7143,Villa Asmara,
7144,Omah Gerjen 29,3A
7145,Villa Kura Kura,
7146,LJBB Shaka,
7147,Villa Tortoise,
7148,Siaga Raya 3 Villas,2 Villas
7149,LJBB Shaka,
7150,Villa Akilea,1
7151,The Alchemist,Le Petit Prince
7152,Kakol Guesthouse,8
7153,LJBB Bungalow,
7154,The Alchemist,Family Bungalow
7155,LJBB Nina,
7156,Villa Cerita Indah,
7157,LJBB Bungalow,
7158,NDBV Lot 6,
7159,Villa Idaman,2
7160,Villa Tortoise,Room 1
7161,Villa Mediapura,F
7162,Villa Arindra,1
7163,Villa Asmara,
7164,Kakol Guesthouse,8
7165,Villa 9 Nelayan,05 (bunk bed)
7166,Villa 9 Nelayan,11
7167,NDBV Lot 6,
7168,Villa 9 Nelayan,10
7169,Puri Kelapa,10
7170,LJBB Shaka,
7171,Yoga Searcher,2
7172,Bobby's Guesthouse,All rooms
7173,Villa Cahaya,
7174,Villa Hali Bali,2 Bedroom
7175,Villa Asmara,
7176,Moyo & Son Surf Stay,107-Twin
7177,Kakol Guesthouse,2
7178,Puri Kelapa,07
7179,Puri Kelapa,01 (twin)
7180,LaJoya1 Standard Bungalow,
7181,The Jepun,3
7182,Kakol Guesthouse,2
7183,Puri Kelapa,10
7184,Uluwatu Cottages,14 (Double)
7185,Villa Shanti 3BR,
7186,Kembang Kuning,08
7187,The Alchemist,Le Petit Prince
7188,The Alchemist,Romeo
7189,LJBB Bungalow,
7190,LJBB Bungalow,
7191,Villa Zen,
7192,Villa Bening,
7193,LJBB Bungalow,
7194,The Gong,Double 9
7195,Villa Kanha,
7196,The Alchemist,Blanche Niege
7197,Uluwatu Village House,2
7198,Tirtha Canggu Suites,01
7199,Dinar Hills,B (Standard)
7200,Uluwatu Village House,2
7201,Moyo & Son Surf Stay,109-Dorm 2 Person
7202,Uluwatu Cottages,15 (Double)
7203,La Cabane Dlx,
7204,Kakol Guesthouse,3
7205,Agung Homestay,2
7206,Kembang Kuning,04
7207,Villa Papaya,
7208,Villa Tortoise,
7209,Batu Jaran Hill,10
7210,The Gong,Double 9
7211,Puri Kelapa,B2 (double)
7212,Moyo & Son Surf Stay,105-Double
7213,Moyo & Son Surf Stay,109-Dorm 1
7214,Jepun Sari,92 (Double)
7215,Villa Kama,4
7216,The Gong,Double 9
7217,LJBB Nina,
7218,The Alchemist,Blanche Niege
7219,Uluwatu Village House,2
7220,The Alchemist,Family Bungalow
7221,The Alchemist,Le Petit Prince
7222,NDBV Lot 3,
7223,NDBV Lot 3,
7224,LJBB Nina,
7225,Villa Asmara,
7226,Villa Asmara,
7227,The Gong,Double 3
7228,Villa 9 Nelayan,11
7229,The Alchemist,Mykonos
7230,Puri Kelapa,06
7231,Uluwatu Jungle Bungalow,5
7232,Villa Asmara,
7233,LJBB Bungalow,
7234,Lebak Guesthouse,2 (twin)
7235,The Jarrdin 2BR,C1116-Rahmat
7236,Villa Idaman,2
7237,Uluwatu Jungle Bungalow,3
7238,Pondok Lulik,02
7239,Bingin Surf Left,04
7240,Uluwatu Jungle Bungalow,3
7241,The Alchemist,Le Petit Prince
7242,D'Padang,01
7243,LJBB Shaka,
7244,Batu Jaran Hill,08
7245,Kubu Nyang Nyang,1
7246,Uluwatu Cottages,18 (Double)
7247,Villa Kura Kura,
7248,Villa Mediapura,J
7249,Villa 9 Nelayan,07
7250,Moyo & Son Surf Stay,105-Double
7251,The Gong,214 (Double)
7252,Omah Lila,3BR
7253,The Gong,216 (Double)
7254,Villa Asmara,
7255,Dinar Hills,B (Standard)
7256,Yoga Searcher,2
7257,Villa Kama,1
7258,D'padang,09
7259,Rumah Teteh,
7260,Villa Bingin Luna,
7261,Villa Toya,
7262,Villa Kama,1
7263,Villa Tortoise,Room 2
7264,LJBB Bungalow,
7265,Villa Toya,
7266,Kutuh Manak,04
7267,Dinar Hills,B (Standard)
7268,Kubu Nyang Nyang,1
7269,Villa Kama,1
7270,Villa Arindra,2
7271,Uluwatu Village House,2
7272,Omah Gerjen 29,3A
7273,Kutuh Manak,01
7274,Lebak Guesthouse,7
7275,Puri Kelapa,Family 1
7276,Dinar Hills,B (Standard)
7277,Villa Lila Loka,4 (Double)
7278,Omah Gerjen 29,3B
7279,Citra Sun Garden C2 no 2,
7280,Puri Kelapa,07
7281,Batu Jaran Hill,01 (kitchen)
7282,Villa Kama,1
7283,Pondok Lulik,05
7284,Bingin Surf Left,02
7285,Villa Kama,1
7286,Villa Indigo,
7287,The Alchemist,Romeo
7288,Villa Arindra,1
7289,LJBB Bungalow,
7290,LJBB Shaka,
7291,LJBB Nina,
7292,Lebak Guesthouse,9 (master)
7293,Villa Kama,1
7294,LJBB Bungalow,
7295,Tirtha Canggu Suites,03
7296,Puri Kelapa,B1 (twin)
7297,Rama Village,
7298,Villa 9 Nelayan,03
7299,Uluwatu Jungle Villa,2
7300,Puri Kelapa,08 (twin)
7301,Puri Kelapa,D2 (double)
7302,Villa Zen,
7303,Villa Kanha,
7304,Pondok Lulik,06
7305,Bingin Surf Left,05
7306,Kembang Kuning,02
7307,Villa Shanti 2BR,
7308,Dinar Hills,B (Standard)
7309,Puri Sabina,05 (deluxe)
7310,Puri Kelapa,09
7311,Villa Cerita Indah,
7312,Three Monkeys,Deluxe 2 (twin)
7313,Pondok Lulik,09
7314,Batu Jaran Hill,02
7315,Puri Pandawa,Suite 2
7316,Moyo & Son Surf Stay,204-Double
7317,Puri Kelapa,07
7318,The Gong,217 (Double)
7319,Villa Bingin Luna,
7320,The Alchemist,Le Petit Prince
7321,Kubu Nyang Nyang,2
7322,LJBB Bungalow,
7323,Bingin Surf Left,06
7324,Villa Bening,
7325,LJBB Bungalow,
7326,Villa Kura Kura,
7327,LJBB Bungalow,
7328,Kubu Nyang Nyang,2
7329,Rama Village,
7330,Omah Lila,3BR
7331,Gangga Guest House,1
7332,Bingin Surf Left,02
7333,Dinar Hills,C (Standard)
7334,Villa 9 Nelayan,11
7335,Pondok Lulik,06
7336,D'Java Babarsari,
7337,Puri Sabina,05 (deluxe)
7338,Kubu Nyang Nyang,2
7339,Bobby's Guesthouse,All rooms
7340,The Alchemist,Le Petit Prince
7341,LJBB Nina,
7342,Rama Village,
7343,Jepun Sari,90 (Twin)
7344,The Gong,Double 9
7345,Puri Kelapa,11 (twin)
7346,Padang Padang View,3
7347,Villa Toya,
7348,Villa Zen,
7349,Villa Kama,3
7350,Villa Kama,1
7351,Jepun Sari,88 (Twin)
7352,Kubu Nyang Nyang,2
7353,Puri Kelapa,05
7354,Puri Kelapa,Family 1
7355,Sawah Joglo,Deluxe 3
7356,Dinar Hills,B (Standard)
7357,Rumah Lavia,Joglo
7358,Uluwatu Jungle Bungalow,3
7359,Villa Hali Bali,Entire Villa
7360,Batu Jaran Hill,02
7361,The Alchemist,Romeo
7362,Puri Kelapa,10
7363,The Gong,Double 9
7364,Villa Hali Bali,Entire Villa
7365,Villa Hali Bali,Entire Villa
7366,LJBB Shaka,
7367,Uluwatu Jungle Bungalow,2
7368,LJBB Nina,
7369,Villa Bingin Luna,
7370,Villa Shanti 2BR,
7371,Maha Ungasan,06 (Garden View)
7372,Bingin Surf Left,06
7373,Pondok Lulik,05
7374,Pondok Lulik,04
7375,Uluwatu Village House,2
7376,Villa Shanti 3BR,
7377,Kutuh Manak,09
7378,The Gong,Double 3
7379,Maha Ungasan,10 (Garden View)
7380,Kubu Nyang Nyang,2
7381,The Gong,Double 3
7382,Villa Akilea,1
7383,Puri Kelapa,05
7384,LJBB Nina,
7385,Puri Kelapa,07
7386,Villa Kanha,
7387,LJBB Shaka,
7388,LJBB Shaka,
7389,La Cabane Std,
7390,Comeback,06 (Twin)
7391,The Alchemist,One Love
7392,Puri Kelapa,10
7393,Villa Loluan,1
7394,Villa Indigo,
7395,Villa Kama,4
7396,Moyo & Son Surf Stay,104-Double
7397,Puri Kelapa,11 (twin)
7398,Villa Shanti 2BR,
7399,Comeback,08 (Double)
7400,Pondok Lulik,05
7401,Comeback,03 (Twin sekat)
7402,Puri Kelapa,02
7403,Lebak Residence,Wooden 1
7404,Uluwatu Jungle Bungalow,3
7405,Agung Homestay,2
7406,Wira Homestay,11
7407,Comeback,01 (Twin sekat)
7408,NDBV Lot 6,
7409,Kubu Nyang Nyang,2
7410,Puri Kelapa,12
7411,Rama Village,
7412,LJBB Shaka,
7413,Villa Kama,2
7414,The Alchemist,Romeo
7415,Villa Kama,4
7416,Villa Zen,
7417,Kembang Kuning,08
7418,Puri Kelapa,10
7419,Kembang Kuning,08
7420,Yoga Searcher,3
7421,Rama Village,
7422,Puri Minggiran,2
7423,Maha Ungasan,04 (Garden View)
7424,Moyo & Son Surf Stay,106-Double
7425,Uluwatu Jungle Bungalow,5
7426,Villa 9 Nelayan,05 (bunk bed)
7427,Ndalem Ngabean Double,1
7428,Yoga Searcher,3
7429,Sanatha Yoga Guesthouse,1
7430,Buana,207
7431,The Gong,Double 7
7432,Padang Padang View,2
7433,Comeback,07 (Double)
7434,Kembang Kuning,02
7435,Puri Kelapa,02
7436,Puri Kelapa,10
7437,Villa Cerita Indah,
7438,The Gong,Double 9
7439,Kubu Nyang Nyang,2
7440,The Alchemist,Le Petit Prince
7441,Villa Mediapura,J
7442,Uluwatu Jungle Bungalow,2
7443,The Alchemist,Le Petit Prince
7444,Moyo & Son Surf Stay,106-Double
7445,Batu Jaran Hill,06
7446,Puri Kelapa,11 (twin)
7447,Puri Kelapa,07
7448,Bingin Surf Left,06
7449,LJBB Shaka,
7450,Kembang Kuning,04
7451,Omah Gerjen 29,3A
7452,NDBV Lot 6,
7453,Uluwatu Cottages,26 (Suite)
7454,Kembang Kuning,08
7455,D'padang,09
7456,Padang Padang View,2
7457,Maha Ungasan,04 (Garden View)
7458,Moyo & Son Surf Stay,104-Double
7459,The Gong,Ocean View
7460,Villa 9 Nelayan,07
7461,Uluwatu Jungle Bungalow,5
7462,Yoga Searcher,4
7463,Kembang Kuning,05
7464,Villa Shanti 3BR,
7465,Wira Homestay,11
7466,Villa Idaman,2
7467,LJBB Shaka,
7468,Villa Lila Loka,4 (Double)
7469,Villa Cahaya,
7470,Villa Bulan,
7471,Villa Kama,1
7472,LJBB Nina,
7473,Kubu Nyang Nyang,1
7474,NDBV Lot 3,
7475,Kutuh Manak,02
